policy,sampling_strategy,seed,type,instance,nnodes,nlps,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime
gcnn:baseline,depthK_adaptive2,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,233,439,6.28,0.0,optimal,0,0,6.930245500000001,6.734375
gcnn:baseline,depthK_adaptive2,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,209,454,5.95,0.0,optimal,0,0,6.3410554999999995,6.234375
gcnn:baseline,depthK_adaptive2,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,241,467,6.06,0.0,optimal,0,0,6.4706984,6.421875
gcnn:baseline,depthK_adaptive2,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,227,475,6.45,0.0,optimal,0,0,6.6813155,6.640625
gcnn:baseline,depthK_adaptive2,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,251,499,6.41,0.0,optimal,0,0,6.804184199999998,6.703125
gcnn:baseline,depthK_adaptive2,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,134,328,4.43,0.0,optimal,0,0,4.630891800000001,4.640625
gcnn:baseline,depthK_adaptive2,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,152,383,4.54,0.0,optimal,0,0,4.709318799999998,4.6875
gcnn:baseline,depthK_adaptive2,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,142,315,4.67,0.0,optimal,0,0,4.992664000000005,5.0
gcnn:baseline,depthK_adaptive2,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,133,300,4.36,0.0,optimal,0,0,4.590072599999999,4.5625
gcnn:baseline,depthK_adaptive2,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,183,384,4.73,0.0,optimal,0,0,4.9496647,4.9375
gcnn:baseline,depthK_adaptive2,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_3.lp,9,68,2.25,0.0,optimal,0,0,2.315620899999999,2.3125
gcnn:baseline,depthK_adaptive2,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_3.lp,13,75,2.41,0.0,optimal,0,0,2.4236834000000016,2.4375
gcnn:baseline,depthK_adaptive2,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_3.lp,9,78,2.3,0.0,optimal,0,0,2.387161500000005,2.390625
gcnn:baseline,depthK_adaptive2,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_3.lp,13,70,2.31,0.0,optimal,0,0,2.322324899999998,2.328125
gcnn:baseline,depthK_adaptive2,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_3.lp,15,77,2.24,0.0,optimal,0,0,2.299042599999993,2.296875
gcnn:baseline,depthK_adaptive2,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_4.lp,1509,2061,20.14,0.0,optimal,0,0,21.405620600000006,21.078125
gcnn:baseline,depthK_adaptive2,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_4.lp,1604,2147,21.29,0.0,optimal,0,0,22.560984399999995,22.28125
gcnn:baseline,depthK_adaptive2,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_4.lp,1437,2046,19.39,0.0,optimal,0,0,20.8916768,20.5625
gcnn:baseline,depthK_adaptive2,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_4.lp,1597,2090,20.91,0.0,optimal,0,0,22.4284385,21.953125
gcnn:baseline,depthK_adaptive2,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_4.lp,1565,2095,20.6,0.0,optimal,0,0,21.923079900000005,21.75
gcnn:baseline,depthK_adaptive2,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_5.lp,33,156,2.93,0.0,optimal,0,0,3.0396399999999915,3.03125
gcnn:baseline,depthK_adaptive2,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_5.lp,29,100,2.71,0.0,optimal,0,0,2.812601399999977,2.78125
gcnn:baseline,depthK_adaptive2,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_5.lp,29,98,2.61,0.0,optimal,0,0,2.7335555000000227,2.71875
gcnn:baseline,depthK_adaptive2,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_5.lp,31,98,2.72,0.0,optimal,0,0,2.7797079999999994,2.765625
gcnn:baseline,depthK_adaptive2,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_5.lp,33,107,2.88,0.0,optimal,0,0,2.936534899999998,2.9375
gcnn:baseline,depthK_adaptive2,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_6.lp,260,556,7.61,0.0,optimal,0,0,8.02876470000001,7.9375
gcnn:baseline,depthK_adaptive2,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_6.lp,267,584,7.72,0.0,optimal,0,0,8.060413899999986,8.015625
gcnn:baseline,depthK_adaptive2,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_6.lp,259,522,7.61,0.0,optimal,0,0,7.890538300000003,7.90625
gcnn:baseline,depthK_adaptive2,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_6.lp,259,538,7.02,0.0,optimal,0,0,7.415605700000015,7.328125
gcnn:baseline,depthK_adaptive2,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_6.lp,269,552,8.04,0.0,optimal,0,0,8.279873099999975,8.265625
gcnn:baseline,depthK_adaptive2,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_7.lp,581,1017,11.61,0.0,optimal,0,0,12.1812343,12.046875
gcnn:baseline,depthK_adaptive2,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_7.lp,467,895,10.17,0.0,optimal,0,0,10.606427700000012,10.53125
gcnn:baseline,depthK_adaptive2,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_7.lp,551,992,10.69,0.0,optimal,0,0,11.216160299999956,11.109375
gcnn:baseline,depthK_adaptive2,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_7.lp,533,967,10.94,0.0,optimal,0,0,11.706461100000013,11.609375
gcnn:baseline,depthK_adaptive2,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_7.lp,501,1021,10.72,0.0,optimal,0,0,11.28290290000001,11.21875
gcnn:baseline,depthK_adaptive2,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_8.lp,283,511,5.83,0.0,optimal,0,0,6.16443129999999,6.140625
gcnn:baseline,depthK_adaptive2,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_8.lp,313,571,6.55,0.0,optimal,0,0,6.9846368000000325,6.84375
