policy,sampling_strategy,seed,type,instance,nnodes,nlps,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime
gcnn:baseline,uniform5,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,217,497,6.11,0.0,optimal,0,0,6.7241017,6.6875
gcnn:baseline,uniform5,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,231,477,6.23,0.0,optimal,0,0,6.4897837,6.40625
gcnn:baseline,uniform5,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,219,448,5.99,0.0,optimal,0,0,6.314330700000003,6.1875
gcnn:baseline,uniform5,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,201,405,5.86,0.0,optimal,0,0,6.076561099999999,6.09375
gcnn:baseline,uniform5,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,255,546,6.31,0.0,optimal,0,0,6.759158299999999,6.703125
gcnn:baseline,depthK,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,241,428,6.06,0.0,optimal,0,0,6.305145099999997,6.265625
gcnn:baseline,depthK,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,227,470,5.97,0.0,optimal,0,0,6.320893099999999,6.1875
gcnn:baseline,depthK,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,225,465,6.29,0.0,optimal,0,0,6.395846799999994,6.40625
gcnn:baseline,depthK,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,223,453,5.98,0.0,optimal,0,0,6.359620100000001,6.25
gcnn:baseline,depthK,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,221,474,5.97,0.0,optimal,0,0,6.2249253000000095,6.21875
gcnn:baseline,depthK2,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,221,406,5.83,0.0,optimal,0,0,6.13733959999999,6.109375
gcnn:baseline,depthK2,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,199,390,5.47,0.0,optimal,0,0,5.8056397999999945,5.75
gcnn:baseline,depthK2,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,221,413,5.61,0.0,optimal,0,0,6.073363399999991,6.0
gcnn:baseline,depthK2,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,213,435,5.84,0.0,optimal,0,0,6.0418432999999965,6.046875
gcnn:baseline,depthK2,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,257,524,6.25,0.0,optimal,0,0,6.62566129999999,6.578125
gcnn:baseline,depthK_adaptive,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,253,465,6.25,0.0,optimal,0,0,6.544272599999999,6.53125
gcnn:baseline,depthK_adaptive,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,239,448,6.16,0.0,optimal,0,0,6.370982099999992,6.34375
gcnn:baseline,depthK_adaptive,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,237,447,6.06,0.0,optimal,0,0,6.342406000000011,6.3125
gcnn:baseline,depthK_adaptive,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,207,455,5.97,0.0,optimal,0,0,6.180271300000001,6.15625
gcnn:baseline,depthK_adaptive,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,245,487,6.2,0.0,optimal,0,0,6.4428444999999925,6.453125
gcnn:baseline,depthK_adaptive2,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,233,439,5.98,0.0,optimal,0,0,6.283614400000005,6.25
gcnn:baseline,depthK_adaptive2,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,209,454,6.03,0.0,optimal,0,0,6.25980629999998,6.21875
gcnn:baseline,depthK_adaptive2,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,241,467,6.03,0.0,optimal,0,0,6.3785383999999965,6.28125
gcnn:baseline,depthK_adaptive2,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,227,475,5.83,0.0,optimal,0,0,6.349121600000018,6.15625
gcnn:baseline,depthK_adaptive2,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_1.lp,251,499,6.25,0.0,optimal,0,0,6.581099600000016,6.5625
gcnn:baseline,uniform5,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,196,444,4.94,0.0,optimal,0,0,5.252853399999992,5.171875
gcnn:baseline,uniform5,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,132,323,4.21,0.0,optimal,0,0,4.369264499999986,4.375
gcnn:baseline,uniform5,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,124,310,4.45,0.0,optimal,0,0,4.718078300000002,4.671875
gcnn:baseline,uniform5,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,148,379,4.64,0.0,optimal,0,0,4.854886100000016,4.796875
gcnn:baseline,uniform5,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,138,326,4.16,0.0,optimal,0,0,4.437183199999993,4.390625
gcnn:baseline,depthK,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,116,287,4.07,0.0,optimal,0,0,4.238749999999982,4.234375
gcnn:baseline,depthK,1,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,163,346,4.28,0.0,optimal,0,0,4.515306100000004,4.46875
gcnn:baseline,depthK,2,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,124,292,4.36,0.0,optimal,0,0,4.588852599999996,4.578125
gcnn:baseline,depthK,3,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,143,313,4.44,0.0,optimal,0,0,4.690436500000004,4.609375
gcnn:baseline,depthK,4,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_2.lp,123,342,4.0,0.0,optimal,0,0,4.278712900000016,4.21875
