policy,sampling_strategy,seed,type,instance,nnodes,nlps,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime
gcnn:baseline,uniform5,0,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_1.lp,1081,1630,23.09,0.0,optimal,0,0,24.0228618,24.0625
gcnn:baseline,uniform5,1,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_1.lp,974,1556,21.58,0.0,optimal,0,0,22.4025686,22.359375
gcnn:baseline,uniform5,2,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_1.lp,900,1379,20.42,0.0,optimal,0,0,21.238036300000005,21.0625
gcnn:baseline,uniform5,3,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_1.lp,897,1374,21.1,0.0,optimal,0,0,21.90697089999999,21.796875
gcnn:baseline,uniform5,4,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_1.lp,1266,1825,25.39,0.0,optimal,0,0,26.661225900000005,26.375
gcnn:baseline,depthK,0,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_1.lp,905,1400,20.09,0.0,optimal,0,0,21.0102191,20.90625
gcnn:baseline,depthK,1,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_1.lp,959,1801,21.24,0.0,optimal,0,0,22.12864190000002,21.96875
gcnn:baseline,depthK,2,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_1.lp,878,1465,20.02,0.0,optimal,0,0,20.794400999999993,20.765625
gcnn:baseline,depthK,3,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_1.lp,1075,1685,23.58,0.0,optimal,0,0,24.6048361,24.515625
gcnn:baseline,depthK,4,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_1.lp,1005,1761,21.99,0.0,optimal,0,0,23.088541099999986,22.828125
gcnn:baseline,depthK2,0,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_1.lp,1126,1572,24.22,0.0,optimal,0,0,25.213120000000004,25.03125
gcnn:baseline,depthK2,1,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_1.lp,1062,1658,22.36,0.0,optimal,0,0,23.621432900000002,23.40625
gcnn:baseline,depthK2,2,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_1.lp,880,1377,20.0,0.0,optimal,0,0,20.8502565,20.71875
gcnn:baseline,depthK2,3,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_1.lp,1175,1734,24.62,0.0,optimal,0,0,25.667090700000017,25.5
gcnn:baseline,depthK2,4,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_1.lp,1010,1607,22.33,0.0,optimal,0,0,23.445366799999988,23.140625
gcnn:baseline,depthK_adaptive,0,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_1.lp,1025,1497,21.84,0.0,optimal,0,0,22.916898800000013,22.5625
gcnn:baseline,depthK_adaptive,1,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_1.lp,1026,1515,21.72,0.0,optimal,0,0,22.7539261,22.375
gcnn:baseline,depthK_adaptive,2,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_1.lp,1061,1735,23.03,0.0,optimal,0,0,24.27341839999997,23.890625
gcnn:baseline,depthK_adaptive,3,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_1.lp,939,1507,21.75,0.0,optimal,0,0,22.72031089999996,22.53125
gcnn:baseline,depthK_adaptive,4,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_1.lp,1233,2010,25.97,0.0,optimal,0,0,27.048999399999957,26.796875
gcnn:baseline,depthK_adaptive2,0,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_1.lp,1167,1857,24.97,0.0,optimal,0,0,26.046197699999993,25.921875
